81,887,847,59,81,318,425,540,456,300,694,511,162,89,728,274,211,445,237,106
495,466,528,258,47,947,287,888,790,15,541,408,387,831,429,356,737,631,485,26
413,90,194,563,433,147,78,324,159,353,957,721,189,199,0,705,888,538,703,355
451,510,605,156,266,828,561,202,783,746,563,376,2,718,447,94,577,463,996,420
623,953,137,133,241,59,33,643,891,2,878,336,546,107,940,503,552,843,205,598
425,351,515,757,687,10,410,285,590,632,98,553,591,582,384,297,267,137,271,894
726,802,981,79,66,270,493,86,819,981,52,175,885,710,387,749,528,818,384,903
224,547,612,532,616,839,540,786,51,76,640,351,844,364,305,183,801,90,602,258
767,231,578,154,822,223,342,208,743,968,166,710,535,440,904,162,657,415,371,39
430,513,700,359,720,783,870,984,247,10,565,162,829,920,48,756,695,666,200,456
629,92,831,577,886,320,399,162,447,292,888,611,103,888,318,756,19,807,157,652
675,181,853,795,417,393,470,996,386,632,520,260,922,29,661,60,420,79,954,464
60,551,181,757,516,600,39,637,533,561,804,685,509,215,719,14,40,662,740,0
284,173,235,443,421,390,574,869,70,336,338,472,544,395,174,237,524,293,606,648
352,420,622,371,117,151,265,682,479,592,129,231,721,855,511,343,53,166,859,867
408,8,528,653,774,284,375,874,106,537,286,467,114,658,259,546,723,724,587,657
374,39,531,146,983,928,516,926,477,412,36,51,105,762,789,698,887,430,409,128
159,861,602,418,345,871,653,240,120,81,405,276,509,466,556,695,580,834,477,267
478,175,993,380,808,631,265,558,884,442,23,162,673,972,253,158,527,496,48,513
731,574,306,740,531,332,677,402,654,483,330,686,187,462,604,421,193,398,956,765
922,45,494,806,999,24,420,44,759,7,124,357,853,774,475,740,89,814,545,339
581,131,51,985,629,203,695,92,372,275,377,262,973,17,759,807,780,205,406,474
544,723,894,922,33,574,610,30,395,914,523,650,909,277,645,671,208,198,734,879
354,721,587,326,10,921,267,301,849,488,920,374,401,140,973,596,466,75,110,872
913,214,959,325,446,921,244,63,436,487,488,223,925,26,219,200,114,730,176,300
51,434,619,666,913,45,541,642,239,694,221,574,701,750,485,88,864,560,216,719
582,316,813,516,322,301,555,277,963,217,758,232,179,875,333,740,627,534,552,928
37,647,969,712,346,9,104,356,314,589,223,442,764,339,730,619,953,360,894,985
721,213,401,328,757,184,262,283,721,350,315,540,492,342,591,898,401,707,912,695
516,452,283,755,769,740,694,98,590,417,882,414,370,182,268,476,526,196,825,768
762,243,251,121,713,709,93,870,937,86,841,490,798,585,401,58,718,392,735,815
681,848,356,617,74,99,573,51,161,460,92,524,214,118,63,135,748,350,40,652
390,666,799,760,794,510,351,666,601,722,60,834,13,162,898,817,93,840,53,218
601,6,188,571,577,242,817,407,284,150,907,222,945,835,248,630,904,562,752,775
114,207,453,701,173,201,195,450,45,227,299,138,399,615,775,943,340,860,539,593
551,312,778,281,106,179,615,185,511,648,314,93,836,955,360,836,906,483,128,201
612,779,563,143,787,532,523,723,825,190,277,801,501,847,808,407,659,414,96,152
364,588,237,800,192,138,395,197,144,78,608,727,63,454,352,11,401,438,272,88
780,741,671,641,314,527,636,338,784,44,237,998,523,394,995,362,635,79,107,428
82,495,856,878,989,72,141,915,602,564,920,289,503,804,300,60,879,887,815,385
198,363,325,453,251,380,332,962,832,458,464,438,249,788,809,416,356,587,972,208
244,633,346,243,601,273,344,405,800,806,155,663,378,191,561,140,312,278,444,536
312,383,411,735,971,799,158,4,801,583,816,781,296,556,89,816,317,574,777,203
666,661,784,923,429,111,183,904,650,762,991,247,510,337,464,673,457,403,181,638
617,464,676,366,135,405,585,105,479,341,763,204,319,947,883,836,210,203,330,647
907,672,804,498,691,425,337,472,143,629,4,814,289,118,892,258,650,80,978,817
325,213,269,135,910,952,171,272,209,976,987,388,146,118,933,18,983,966,293,274
521,73,848,146,4,354,963,760,491,859,332,97,999,119,799,925,783,578,830,57
917,602,922,231,972,228,882,605,118,685,593,348,225,816,871,15,76,481,694,641
509,764,158,842,590,237,821,444,411,213,224,11,533,642,182,218,626,470,570,62
